ISBN,封面图,绘本名称,内容,评论,图书品牌,图书套装,作者,作者原名,作者国别,译者,出版社,作者获奖经历,绘本获奖经历,绘本原作名,适合年龄,责任编辑,正文语种,字数,开本,装帧,出版时间,版次,页数/页,定价/元,编辑推荐,媒体推荐,作者简介,豆瓣评分
9787544247122,,这是我的！ ,三只青蛙生活在一个小水塘边，他们见什么都要争一下，不管是小飞虫，小石头，还是一条水草，直到有一天，忽然下起了大雨，三只青蛙被忽然高涨起来的洪水逼得挤在了一小块露在水面的“礁石”上……这个故事的结尾出人意料，但却能让喜欢争强好胜的孩子在发笑中产生一些思索。,120,,,(美)李欧·李奥尼 文/图,,美,阿甲,南海出版公司,,,It's Mine!,,,,,,精装,2010年7月,,32,25.00元,,,[美] 李欧•李奥尼 1910年5月出生于荷兰阿姆斯特丹，父亲是比利时犹太商人，母亲是女高音歌唱家。因家在美术馆附近，舅舅们又是建筑师、画家和艺术品收藏家，所以他从小就得以浸润在浓郁的艺术氛围之中。13岁起，他随家人辗转美国、意大利。1935年获得经济学博士学位。1945年，欧洲掀起反犹太浪潮，他们被迫举家走避美国。 李奥尼是一个才华横溢、不受拘束的艺术天才，绘画、雕刻、平面设计、印刷、陶艺、摄影......样样精通，曾任美国《财富》杂志设计主管长达10年。其间，他多次在欧洲和美国举办个人画展、设计展，并曾担任美国平面造型艺术学会主席、1953年度国际设计大会主席。1955年获美国平面造型艺术协会最佳广告制作美术指导奖、1956年获建筑联盟金牌奖。1984年获颁美国平面造型艺术学会奖时，他受到这样的评价 ：他通过自己的艺术创作、设计创作，对设计领域的...(展开全部),8.4,"https://book.douban.com/subject/4744689/
"
9787537638159,,星月 ,小蝙蝠还不会飞的时候，有一天被猫头鹰追赶，和妈妈分开了。她掉进一个鸟巢里，必须开始学习如何做一只鸟，因此发生许多有趣而又不可思议的事……,36,,,(美)珍妮儿·肯侬,,美,阿甲 审译,河北少年儿童出版社,,,Stellaluna,,,,,,精装,2011-1,,52页,36.80元,,,【作者简介】 珍妮儿‧肯侬（Janell Cannon） 美国知名儿童文学作家及插画家，目前住在南加州，作品曾多次获奖并广受儿童喜爱。全职投入童书创作之前，她曾在公立图书馆工作多年，规划并制作夏季阅读计划。 她为一般人眼中不可爱、不受欢迎的动物创作了系列故事。 《星月》在美国推出之后，一举摘下年度畅销童书大奖（ABBY）。书中可爱的小蝙蝠星月掳获无数孩子的心，肯侬也成为美国当代最重要的童书创作者之一。  【译者介绍】 阿甲 儿童阅读推广人，儿童网站红泥巴村创始人，一个可爱女孩的爸爸。毕业于上海复旦大学法律系，是无书不读的大书虫。从事过多种职业，因为醉心于“ 为孩子做点儿事情”，终于投身到整日与孩子们一起疯疯癫癫的事业里，最喜欢跟孩子说故事。着有《让孩子着迷的101 本书》( 合着)、《儿童阅读100个关键问题》( 合着)、《帮助孩子爱上阅读》等，译有...(展开全部),8.9,"https://book.douban.com/subject/5919031/
"
9780439398817,,"Goodnight, My Duckling ","The sun is setting and it's time for Mama to lead her youngsters home. One dawdling duckling falls behind, drawn to the pond creatures who call, ""Goodnight, Little Duckling!"" as he paddles by. Soon, Mama and the other ducklings are all out of sight, but there's no need for alarm. One special turtle is waiting to carry the little duckling back to Mama's nest.   In this fresh companion to her classic Caldecott Honor winner HAVE YOU SEEN MY DUCKLING?, Nancy Tafuri's beautifully detailed watercolors and spare text once again capture the tender feelings and joyful wonder of childhood.",,,,Tafuri Nancy,,,,Scholastic Press,,,,,,,,,Hardcover,2005-02-01,,32,USD 16.95,,,,,"https://book.douban.com/subject/2685270/
"
9787539151595,,你大我小 ,这是一个既生动又形象的哲理小童话，这是一段既深刻又动情的人生小寓言。作者将饱满的真情和深沉的感受诉诸强烈的色彩、有力的线条，塑造了两个鲜明的形象，在明暗反差中蕴藏了澎湃的情感和深远的思绪。 威风无比的大狮子收留了无依无靠的小象，于是，这一大一小成了最鲜明的对比、最特别的组合：狮子是高傲的百兽之王，令人敬畏，小象孤弱单薄，个子矮小；狮子拥有辉煌的宫殿，小象挨饿受冻，无家可归；狮子能滔滔不绝地讲出种种多彩的经历，小象不怎么会说话，他崇拜狮子的表达只是“你大”、“我小”；当小象长成大象，懂得了很多事情，狮子却慢慢老去，不再威武高大，岁月带来了完全相反的大与小。直到老狮子被赶出皇宫变成了流浪汉，迎接他的是大象紧紧的拥抱。因为大象牢记着“你大我小”，在他心里，狮子是永远的国王。 大和小，生活中最常见的性质对照，儿童眼中最直观的形象比较，它在这里讲述的却不仅仅是狮子和象的动物故事，还生动地向我们展示着生命的发展、事物的演变和强弱的转化：从小到大，从大变老；从弱到强，从强转衰……所有的一切都在时间的洪流中慢慢变迁，没有什么会永远强大，这是自然的规律，是我们世界的法则。长大将带来力量，衰老将伴随力量的消亡；当强势在握，人们往往可以高高在上，骄傲而享有威望，而当强势离去，陪伴在我们左右的真挚关爱和问候，将是一种最珍贵的情感财富。 《你大我小》的故事令人感觉似曾相识，“大”与“小”在我们每个人的心中都会投下许多不同的影像。其实，你可以把它解读成任何一种大与小、高与矮、强与弱的对比、转化的精炼描写，那也是我们生活的规律，更是人生的缩影和写照。尽管，在大与小、强与弱转化的时候，我们可能各有得失，各有感悟，然而不管怎样，其中有些东西总是不变的，那是我们的真诚，我们的情感，我们的爱，就像大象对狮子的依恋，永远不变。 值得一提的是，这本绘本的可贵之处在于它用儿童的心灵和视角感受并接纳了大小、强弱的存在与发展，并在其中将现实、哲理、情感融汇，它在与儿童进行一种亲切而独特的沟通，也是在与我们的生活、世界和内心进行交流和对话。 或许，这里的文字并不煽情、搞笑或绚美摇曳，而葛黑瓜尔就是以自己一贯的独特风格娓娓道来一个《你大我小》的别致故事，带给我们的是无限的真诚、感动、启发……还有一种沉甸甸、真切切的情与爱。它并不铺陈渲染，但却浓得化不开，它并不出奇设悬，但却引人入胜，回味无限。,80,,,(法)葛黑瓜尔·索罗塔贺夫 文/图,,法,武娟,21世纪出版社,,,,,,,,,精装,2009-12,,32,24.80元,,,葛黑瓜尔·索罗塔贺夫，法国当代最具代表性的童书大师之一。他生于埃及，父亲是黎巴嫩人，母亲是俄罗斯人，他自小在黎巴嫩和巴黎近郊长大，深受多种文化样式的浸润，因此他的作品，无论是独特的色彩还是别致的造型，都体现出他丰富多彩的文化背景。孩童时，他就曾和母亲、弟妹们一起手工绘制图画书，作为儿时的游戏。选择职业时，他最初继承父亲的志愿，做了一名医生，随后以给自己的孩子刨作故事、绘制图画书为机遇，涉足儿童读物工作。曾发表过《狼狼》（二十一世纪出版社引进出版）、《我的小兔真可爱》、《别再叫我小兔子》等多部作品，其中《圣诞老人的字典》获得1996年波洛尼亚童书展年度平面艺术奖。他擅长赋予故事角色鲜明动人的个性，并以幽默而现代的笔触，传达出他的思想。本书《你大我小》被选为法国教育部推荐书，并荣获1997年德国儿童青少年文学奖年度最佳图画书，1997年比利时法国社会评论...(展开全部),8.6,"https://book.douban.com/subject/4215214/
"
9787200029994,,王子与贫儿 ,王子与贫儿 一个偶然的机缘，王子爱德 华救了少年乞丐汤姆。他们本想 交换一下衣服穿穿，没想到竟也 交换了角色，深深体验了对方的 生活方式。交换角色，到底是什 么样的滋昧呢？,315,,世界少年文学精选,（美）马克·吐温,,,,北京出版社,,,,,,,,,平装(无盘),2003-5-1,,268,13.00,,,马克·吐温（一八三五年至一九一○年）是我国读者十分熟悉和喜爱的美国作家。十二岁时父亲去世，此后他只好辍学进入印刷所，开始了艰苦的学徒生涯。做过排字工等，后来成了一名出色的新闻记者，并开始定作幽默文学作品，他的作品以对美国社会现实的真实反映和幽默而著称于世，他的同时代作家豪威尔斯在评价他时，称作是“美国文学史的林肯”。 除了《王子与贫儿》外，马克·吐温的作品还有《镀金时代》《汤姆·索亚历险记》和《哈克贝里·费恩历险记》等。 一九○七年，没上过几年学，靠自学成为文学大师的马克·吐温被著名的牛津大学授予文学博士学位。,8.3,"https://book.douban.com/subject/1084554/
"
9787560048680,,城里最漂亮的巨人 ,"2003年 蓝彼德儿童读物奖提名（Blue Petter Award）   戴金冠的邋遢大帅哥   文/梅子涵      乔治的“邋遢”不是脏兮兮的意思，只是指很不讲究穿着。    可是，有些事情，你不讲究，别人会讲究，会看不舒服。这，你只要看看书里那些人的眼神就知道了。    所以，乔治就去买衣服了，把自己打扮得漂漂亮亮，变成了城里的一个大帅哥。       可是怎么他才刚一漂亮，帅酷无比，有困难的长颈鹿、山羊、老鼠、狐狸、狗就纷纷出现了？帅哥没漂亮的时候他们都在哪儿呢？真是捣乱哦！     当然啦，乔治也可以什么都不给，因为谁也没有向他要。可是他还是解下领带，直到解下皮带，没有了皮带，连裤子也掉了下来，只好穿着花短裤。这哥们儿有幽默感，穿的短裤是花的！     我们要记住他唱的歌：“我的领带给受冻的长颈鹿做了围巾，我的衬衫给山羊的小船做了船帆，我的皮鞋给老鼠一家做了房子，我的袜子给狐狸做了睡袋，可是你们瞧瞧我——我还是城里最漂亮的巨人。”他后来一只脚跳着走，还这样唱！他真的愿意帮助人，他就会这样快乐。一个人，如果真是愿意帮助别人，那么这快乐可能就会是抑制不住的。      我们要理解乔治最后只能穿着花短裤单脚跳时的难过，因为穿着花短裤穿街走巷不但的确不文明，而且也的确冷。     乔治的条纹领带给长颈鹿当围巾，衬衫给山羊的小船当船帆，鞋子给老鼠一家当房子，袜子给狐狸当睡袋，皮带铺在泥泞的地上就是一条出色的小路。——作家想得是那么合乎！合乎动物的特点，合乎东西的特点。因为合乎，就真实！就使我们一点儿看不见在有些童话里看见的“胡说八道”。写童话，每一笔都合乎很重要。因为童话容易和胡说八道混在一块儿。     最不讲究的巨人，最漂亮的巨人，最好心眼儿的巨人；因为乔治是一个最好心眼儿的巨人，所以他归根结底要把自己的漂亮都送给别人，所以他归根结底又成为一个一双棕黄色的旧凉鞋、一件打补丁的旧袍子的最不讲究的巨人。可是这个最不讲究的巨人是有金冠的！    一个戴着金冠的人，即使只穿着旧凉鞋、旧袍子，同样还是漂亮！         《城里最漂亮的巨人》—— 交织的图像趣味  （文/李茵茵 台湾台东大学儿童文学研究所博士）      打开封面、封底，这一个跨页就是一个完整的故事，角色从书中的章节片段中跳脱出来，在彼此的互动中为图画书埋下伏笔，也仿若故事线的延续。你能看出这些人物彼此的关系吗？仔细看，动物们的眼神如同箭头，将重心投注在中间的巨人身上。有趣的是，那一双拉长的脚的确凸显了巨人的大与神秘；而那只被衣服困住的兔子愤怒的眼神和颤动的胡须又为“巨大”写下了不同的注解。     阿克塞尔·舍夫勒习惯在扉页用圆形的投影当背景映衬出主角的故事。这幅图可以看出巨人穿着破旧的衣服，弯着腰、驼着背、嘴角紧闭没有笑容、无精打采的走进故事中。     大约19世纪，巨人与童话故事出现在儿童文学中。你注意到了吗？阿克塞尔将这些故事串起来，用图画重新演绎：首先巨人来到城里发现喷水池旁穿长筒靴的猫会洗手、小美人鱼的父亲对自己的一脸不屑、小矮人因买不到衣服而吹胡子瞪眼。这一切都加深了乔治摆脱邋遢的决心。接着乔治为了帮助动物而脱下美丽的衣服——在每一件东西改变功用后，乔治都有了新的发现，直到他找回自己——从扉页到故事的最后一页，乔治的嘴角弯成了一道弯弯的月亮。     这本书最妙的是你可以在图画中找到阿克塞尔安插的小线索与趣味。你发现了吗？在乔治回家的途中遇到许多童话中熟悉的角色映衬出他的不同及改变：像是自顾赶路的小猪、等金蛋的杰克和快乐助人的乔治；穿着华贵服的青蛙王子及送出鞋袜边跳边唱的乔治；抱着羊毛转身离去的绵羊和风中瑟瑟发抖的乔治；当然还有穿回旧衣服却早已不同于从前的乔治。     在图画的演奏中，阿克塞尔掌握了文学性、音乐性、艺术性及浓浓的趣味性。这是一本值得品味再三的图画书。",140,,聪明豆绘本系列第一辑,"(英)朱莉亚·唐纳森 著,阿克塞尔•舍夫勒 图",,英,任溶溶,外语教学与研究出版社,,,,,,,,,平装,2005-5,,31,11.9,,,"朱莉娅·唐纳森（Julia Donaldson）   英国著名作家。朱莉娅在正式进入童书创作领域之前，曾经长期为儿童电视节目创作歌曲、编写剧本，因此她的文字琅琅上口，深受孩子们的喜爱。到目前为止，朱莉娅已经为孩子们创作了40多部童书和戏剧。专职童书创作之余，朱莉娅也经常访问学校与图书馆，为小读者讲故事或表演她的作品。    目前，朱莉娅与她的先生、三个儿子定居于苏格兰的格拉斯哥。     阿克塞尔·舍夫勒（Axel Scheffler）    1957年出生于德国汉堡市，全球知名的插画作家。他的插画既优雅又诙谐，生动灵活的图像语言充满了意在言外的幽默。评论家评论阿克塞尔的插画如同在演奏，文学性、艺术性、音乐性和浓浓的趣味性在他的画笔下和谐地跳跃着。 目前，阿克塞尔定居英国伦敦。     任溶溶   我国著名翻译家、儿童文学作家。任...(展开全部)",8.4,"https://book.douban.com/subject/1322750/
"
9787534266713,,查理九世12·失落的海底城 ,冒充船王可是要付出代价的，墨多多这下子知道了。 看似漂亮的大姐姐，却拿黑洞洞的枪口对着他，并让他交出长生不老的秘密…… 原来叫做克莱尔的少女，认为船王亚瑟 掌握着关于时间的魔法。 看到她拿出百年前的信笺作为证据，亚瑟脸色骤变…… 与此同时，大西洋上掀起了黑暗的暴风雨，一艘布满铁锈的幽灵船缓缓靠近，传说在大西洋的深处，有着辉煌的大西国“亚特兰蒂斯”……打并骷髅谜棺，不死族的预言家就台吹响神曲，带领你我进入不死之国，这是我们唯一的活路。 一夜之间，救生船化为死亡之城，年幼的孩子脸上爬满了可怕的皱纹。 亚瑟隐藏了百年之久的秘密究竟是什么？深海的人鱼吹响了号角，不死之国的传说即将展开，小伙伴们能找到那条唯一的活路吗？最最不可思议的海底旅行，等待你来共同见证奇迹！,63,,查理九世,雷欧幻像,,,,浙江少年儿童出版社,,,,,,,,,平装,2012-1,,199,15.00元,,,雷欧幻像  小时候不见得爱读书，却因为某本特别好看的书，而进入文字领域。信奉“想象力=创造力”；“每个大人心里都住着一个小孩子；而每个小孩心里，都有个未来的成人在静静地等候。”      这是一个大人心里的小孩子为小孩子心里的大人写的故事。希望读者们能跟随“查理九世”的冒险，体验最神奇的故事，体验那种剐开始战战兢兢、有点好奇、又有点危险的感觉……从而深深陷入文字那强大而迷人的魅力，借以获得成长的勇气与力量。,8.3,"https://book.douban.com/subject/7047307/
"
9789620426803,,偽科學鑑證2之殺出香港 ,《偽科學鑑證2之殺出香港》及《標童話集2之消滅九龍》繼續從小克、阿德的《東touch》同名漫畫專欄中煉取精華，再續上集的奇情、幽默、瘋狂和深情。這對「漫畫孖寶」今次會為大家重塑七、八十年代的感性巴士之旅，又重新演繹今日的「大家直」呂先生、「人妻自學計劃」廿四孝阿陳，並請來維港性教育巨星和股神「不卑凸」帶大家來一趟不一樣的「認識香港之旅」。除了上集已登場的國寶安安和佳佳、「維港巨星」、邪童、囡囡等一眾街坊再度出場外，今次還有全新的「變節金剛」、「隧道‧巴士」、「小男人最痛」、「達文西報價」及堪稱「網上傳閱最強」的〈聾貓〉等等與各位見面。,474,,偽科學鑑證,小克,,,,三聯書店(香港)有限公司,,,,,,,,,平裝,2007,,144,$88,,,1996年畢業於理工大學設計系，獲平面設計榮譽學士。畢業後以自由創作人身份從事本地插圖、漫畫、編劇及動畫等工作。2004年與歐陽應霽、Eric So、楊學德及智海姐成漫畫組合「春卷」。於理工大學設計系任長期客席導師。2006年推出首本個人漫畫結集《偽科學鑑證1》，大受歡迎。,9.2,"https://book.douban.com/subject/2070128/
"
9787530731741,,屋顶上的小孩 ,《屋顶上的小孩》讲述清晨，住在派蒂姨妈家的薇拉和她的小妹爬上了屋顶，此时此刻，两个女孩的心情沉闷，神情忧郁。自从薇拉最小的妹妹夭折后，他们全家就陷入了深深的悲痛之中，而且难以自拔。小妹从此不再开口说话，家中一片混乱。热心的派蒂姨妈为了使她们全家早日恢复正常的生活，决定趁着假期将薇拉和小妹接到自己家住一段时间，好让她们心力交瘁的妈妈休养一下。派蒂姨妈万万没有想到，这两个女孩居然与她格格不入，这令她感到非常气恼和无奈。好在有宽厚温和的霍伯姨丈巧妙地周旋在姨妈和两个孩子之间，才使得原已火药味儿十足的紧张气氛得以缓解。派蒂姨妈终于读懂了两个孩子的心，而这两个孩子也不再怨恨她们的姨妈了。小妹又开口说话了。姊妹俩盼望着早日回到妈妈的怀抱，而这一天已经到来。《屋顶上的小孩》荣获2000年纽伯瑞儿童文学奖银奖。,138,,国际大奖小说,(美)奥黛莉·克伦毕斯,,美,刘清彦,新蕾出版社,,,,,,,,,平装,2004-8-1,,224,15.00元,,,,8.3,"https://book.douban.com/subject/1151061/
"
9787535341242,,猫头鹰王国1-暗算 ,小说讲述的是一只名叫赛林的小谷仓猫头鹰，刚刚出生没多久，本应在爸爸妈妈的怀抱中撒娇，并等着最激动的时刻的到来——爸爸教他学飞——这也是所有小雏鸟最盼望的事情，赛林却在沉睡中遭受到暗算，被推出温暖的窝，并被邪恶的猫头鹰掳到圣灵枭猫头鹰孤儿院，并在那里亲身经历和目睹到一些极其可怕和残忍的事情，他意识到这股邪恶的力量即将打碎猫头鹰王国的安宁，于是，赛林的生活轨迹从此改变，同时改变的也有它对世界的看法——曾经世界在他眼中是玫瑰色的，却不知道绚烂之后也藏着黑暗与阴霾。于是，一个神奇的旅程就此开始。一路上，赛林和其朋友将一起找寻真理，与不可想象的危险战斗，由一只曾经弱不禁风的小雏鸟到最后王者归来.....,94,,猫头鹰王国,(美)凯瑟琳·拉丝基,,美,马爱农,湖北少年儿童出版社,,,,,,,,,平装,2009年9月,,189页,21.80元,,,,8.3,"https://book.douban.com/subject/4050577/
"
9787563336739,,红帆 ,身世坎坷的小阿索莉送玩具进城，在树林里不慎丢失了一只系着红帆的小赛艇。小小红帆在林中小溪里随风漂走，她一直追到入海口，发现一位自称是“头号魔法师”的人，他预言，当她长大成人时，会有一位王子乘一艘扬着红帆的海船来把她接走。从此，阿索莉饱受创伤的心里燃起了对幸福生活的无限希望，对预言中的红帆深信不疑，并时常来到海边，在晨曦中期盼梦幻的红帆向她驶来。 船长格莱在一个偶然的时机，驾驶着自己的“秘密号”来到一处海岸高坡的树林，发现了沉睡中的阿索莉。格莱得知一切后，悄悄作出了来自上天启示的决定。他亲自购买了两千米昂贵的红绸，将“秘密号”装饰一新，他升起红帆，奏响音乐，起航了。幻想变成了现实，阿索莉终于望见了奇妙的圣境：渐渐驶近的红帆船头，站立着为她创造了这一奇迹的王子……,128,,雅典娜·童书小经典,[苏] A. 格林,,苏,张佩文,广西师范大学出版社,,,,,,,,,平装,2002-09,,118,7.80,,,A．格林（A．Grin，1880～1932） 苏联散文作家，曾当过水手、渔夫、淘金工、铁匠、士兵等，因参加社会革命党，多次被捕入狱，三次被流放。不平凡的经历为他提供了丰富的创作素材，其作品富有幻想，意境怪诞，充满神秘冒险色彩，在整个俄国文学中最富异国情调。现在，格林被认为是寓言性和象征性故事及长篇小说体裁的大师，是表现深刻的人道主义和道德责任心的幻想世界的创造者。其著名作品存长篇小说《灿烂的世界》（1923）和《穷途末路》（1930）；短篇故事《在里斯的海船》（1918）和《荒漠的心田》（1923）。中篇小说《红帆》（1923）是苏联同名芭蕾舞剧和电影的蓝本。,8.2,"https://book.douban.com/subject/1007601/
"
9787020053230,,哈利·波特与混血王子 ,《哈利·波特与“混血王子”》是“哈利·波特”系列的第六部。 仲夏的一个夜晚，反常的浓雾笼罩在窗户玻璃上，哈利·波特在女贞路4号德思礼家自己的卧室里紧张地等待着邓布利多教授的来访。 哈利不太确定邓布利多是否真的会来德思礼家。邓布利多为什么现在要来看他呢？几个星期之后，他就要返校，邓布利多为什么不能等一等呢？哈利六年级的学习似乎就这样出人意料地提前开始了…… 而更加出人意料的事情还在接踵而至：邓布利多终于让斯内普教授如愿以偿，任命其担任黑魔法防御术课教师……哈利从教室的储藏柜里翻到一本魔药课本，它的前任主人是“混血王子”，从此哈利在神秘“王子”的帮助下成为“魔药奇才”……邓布利多开始了给哈利的单独授课，但奇怪的是，邓布利多却经常离开学校外出……在邓布利多的课上，哈利经历了几段关于少年伏地魔的惊心动魄的记忆，揭示了伏地魔不同寻常的身世之谜…… 哈利隐隐觉得这一学期期内普教授和马尔福的关系发生了微妙变化，其中似乎别有一番隐情，而马尔福更是行踪诡秘……哈利试图揭穿马尔福的阴谋，但始终没有成功，直到马尔福把食死徒引进学校，斯内普对邓布利多校长举起了魔杖……,58844,,哈利·波特,[英] J. K. 罗琳,,英,马爱农,人民文学出版社,,,Harry Potter and the Half-Blood Prince,,,,,,平装,2005-10,,496,58.00元,,,"J. K. 罗琳（J. K. Rowling, 1965- ），英国女作家，自小喜欢写作，当过短时间的教师和秘书。二十四岁那年，她在前往伦敦的火车旅途中萌生了创作“哈利·波特”系列小说的念头。七年后，《哈利·波特与魔法石》问世，之后她陆续创作了《哈利·波特与密室》《哈利·波特与阿兹卡班囚徒》《哈利·波特与火焰杯》《哈利-波特与凤凰社》《哈利·波特与“混血王子”》和《哈利·波特与死亡圣器》，完成了该系列的创作，在全球刮起一股股“哈利·波特”飓风，在世界范围内掀起规模宏大的“哈利·波特”阅读狂潮。另外，在此期间，她还因为慈善事业而先后完成了《神奇动物在哪里》和《神奇的魁地奇球》这两部与“哈利·波特”系列相关的图书，最新完成的作品是《诗翁彼豆故事集》。 J.K.罗琳与她的丈夫及三个孩子生活在爱丁堡，一边尽享家庭生活的幸福，一边文学创作。",8.8,"https://book.douban.com/subject/1432596/
"
9787533267629,,享受图画书 ,图画书是什么？如何阅读图画书？如何理解图画书的艺术特质？当代图画书研究者、儿童文学理论家方卫平先生以其深厚的理论学养和丰富的文本阅读，带领我们进入图画书丰富的艺术世界，为我们深入认识和了解图画书这种特殊的艺术样式，提供了鞭辟入里的学理分析和细致入微的文本解读。如果你是一位家长或者老师，本书可以帮助你如何更好地选择图画书。如果你是一位图画书发烧友，本书可以帮助你更专业地了解图画书的阔大与丰富。如果你是一位图画书创作者，本书可以帮助你明确自己的创作观念，辨清努力的方向。,13,,,方卫平,,,,明天出版社,,,,,,,,,平装,2012-3,,189,30.00元,,,方卫平，浙江师范大学教授、儿童文化研究院院长、儿童文学研究所所长。中国作家协会儿童文学委员会委员。学术丛刊《中国儿童文化》主编、意大利《教育史与儿童文学》杂志国际学术委员。著有《中国儿童文学理论发展史》《儿童文学接受之维》《法国儿童文学导论》《儿童文学的审美走向》《无边的魅力》《童年?文学?文化》《寻回心灵的诗意》等个人著作十余种；出版《方卫平儿童文学理论文集》四卷；选评有《最佳儿童文学读本》《最佳少年文学读本》《中国儿童文学分级读本》等。,7.5,"https://book.douban.com/subject/10464316/
"
9784840130424,,マラソン1年生 ,はっきり言って超運動不足です。…こんな私でも走るのは楽しい！『ひとりぐらしも9年め』のたかぎなおこがマラソンに挑戦！目指すはホノルル・フルマラソン！？—。 目次 1　とりあえず走ってみよう（まずは形から、シューズとウエア選び ご近所30分ウォーキング　ほか） 2　走る楽しみを見つけよう（ｉＰｏｄランと山登りトレーニング 金コーチ直伝、ビールが美味しくなる走り方） 3　ご当地マラソン大会に出てみよう（今後の大会＆ホノルル行きが決定！ 初遠征！旅行気分で日光へ（10ｋｍ／栃木）　ほか） 4　走れる距離を伸ばしてみよう（ＬＳＤと登山で持久力をつけよう！ 絶景の松島で初ハーフに挑戦！（21ｋｍ／宮城）　ほか） ＦＩＮＡＬ　42．195ｋｍにチャレンジしよう（やって来ました、憧れのハワイ いよいよ本番、フルマラソンスタート！　ほか）,179,,,"たかぎなおこ,高木直子",,,,メディアファクトリー,,,,,,,,,A5判,2009/9/30,,176ページ,"1,155円（税込）",,,"高木直子（1974年3月26日－），出生于日本三重县，日本的插画家。在2003年以“150cm Life”作品成名。 家族成员-父母,一姐一弟。学生时代参加网球社。小时候已经很喜欢绘画。喜欢的食物是刺身，而喜欢的饮品是啤酒。 http://zh.wikipedia.org/zh-cn/%E9%AB%98%E6%9C%A8%E7%9B%B4%E5%AD%90",8.9,"https://book.douban.com/subject/4144288/
"
9787535282415,,节气手帖：蔓玫的花花朵朵 ,数以百计的清丽水彩 浪漫与理性并具的花之记录 国内首部传统节气主题植物手帖 知乎/微博知名植物领域作者蔓玫，历时三年诚意之作 这是一本跟随传统二十四节气记录的植物之书。一本有关美与自然，情感与知识的书。 专业的植物学背景与鲜活灵动的笔触，交融出花与人之间的种种因缘故事——从源远流长的诗词典故，到深入浅出的科学分析；从细腻精美的赏花图鉴，到简便易行的手工食谱。既有喜闻乐见的「干货」知识，又有赏心悦目的诗情画意。字里行间，是植物与你息息相关的美好一切。 更耗费长久时力细细打磨，以详实内容配以抒情手绘，精品呈现。值得所有热爱生活、热爱自然的人儿细细品读收藏。 翻阅本书，如穿越风华正好的江南四季，花枝盛放，光阴流走，满纸温柔。,90,,,蔓玫,,,,"湖北科学技术出版社,长江出版传媒",,,,,,,,,精装,2016-1-1,,288,58,,,蔓玫，90后植物达人，知识社区知乎网植物领域最佳作者。硕士专业为观赏植物学，毕业后从事文创类工作。 参与有《乐活》《博物》《文艺风象》《时尚家居》《中国花卉报》等刊物供稿，DK花园系列丛书翻译。曾出版《草木集》等图书。,9.2,"https://book.douban.com/subject/26654475/
"
9780763625894,,The Miraculous Journey of Edward Tulane ,"A timeless tale by the incomparable Kate DiCamillo, complete with stunning full-color plates by Bagram Ibatoulline, honors the enduring power of love.  ""Someone will come for you, but first you must open your heart. . . .""  Once, in a house on Egypt Street, there lived a china rabbit named Edward Tulane. The rabbit was very pleased with himself, and for good reason: he was owned by a girl named Abilene, who treated him with the utmost care and adored him completely.   And then, one day, he was lost.   Kate DiCamillo takes us on an extraordinary journey, from the depths of the ocean to the net of a fisherman, from the top of a garbage heap to the fireside of a hoboes' camp, from the bedside of an ailing child to the bustling streets of Memphis. And along the way, we are shown a true miracle — that even a heart of the most breakable kind can learn to love, to lose, and to love again.",644,,,Kate Dicamillo,,,,Candlewick,,,,,,,,,Hardcover,2006-2,,198,167.00元,,,凯特·迪卡米洛（Kate DiCamillo）生于美国宾夕法尼亚州，在佛罗里达州长大，大学时主修英美文学，并从事成人短篇小说的创作，曾经获得1998年迈克奈特基金会的作家奖励金。她的第一本儿童小说《傻狗温迪克》一问世就广受好评，并夺得了2001年纽伯瑞儿童文学奖银奖。2004年，凯特·迪卡米洛又凭借《浪漫鼠德佩罗》多的当年的伯纽瑞文学奖金奖。 2006年，迪卡米洛推出温馨力作《爱德华的奇妙之旅》，并荣获波士顿全球号角奖金奖。此奖以开拓儿童的想象空间，充分发挥书籍在人类文化演绎中的号角作用为获奖标准，是美国极负盛名的儿童文学奖项。《纽约时报》评论说，至此，凯特·迪卡米洛已经成为美国当代童书界最耀眼的明星。,9.2,"https://book.douban.com/subject/1828307/
"
9784062694438,,NO.6〈#9〉 ,圧倒的迫力のシリーズ最終巻！ 炎上する矯正施設から間一髪で脱出した紫苑とネズミはそれぞれの思いを胸に、最後の闘いに挑む。崩壊する聖都市ＮＯ．６、その先に広がる新たな世界とは--。,271,,NO.6,"あさのあつこ,影山徹",,,,講談社,,,,,,,,,単行本（ソフトカバー）,2011-6-14,,210,998,,,,9.2,"https://book.douban.com/subject/6436494/
"
