ISBN,封面图,绘本名称,内容,评论,图书品牌,图书套装,作者,作者原名,作者国别,译者,出版社,作者获奖经历,绘本获奖经历,绘本原作名,适合年龄,责任编辑,正文语种,字数,开本,装帧,出版时间,版次,页数/页,定价/元,编辑推荐,媒体推荐,作者简介,豆瓣评分
9787514503791,,国王先生 ,MR.KING国王先生 朋友，人生，心态，纯真，柔美，治愈…… 一双眼睛，一个世界；一颗心，一片天空。 邂逅《Mr.king》，分享小红人的乐观与快乐，体味国王的孤独与忧伤，感受扫把的柔情慧心。 《漫客·绘心》人气连载，天才绘本画师扫把倾情绘制最新心灵感悟绘本。 嗨，亲爱的朋友！ 你好吗？ 我想和你在一起， 记得微笑，忘却孤单， 一起歌唱，一起分担。 以舒缓的节奏，分篇分主题的形式，围绕国王和小红人而展开一系列的小故事。讲述国王的孤独和寻觅，小红人的充实和快乐，他们面对同样环境和季节时不一样的心境和感受，他们看待事物的态度，以及心灵感悟。包括书，礼物，家，信，秋天的味道，咖啡，窗，我要告诉你，百年孤独，最后的音乐会十话。 封底： 嗨，我亲爱的朋友 我想告诉你 我会陪着你 从封面走到封底 所以别害怕孤单 遇见你 微笑是我愿送给你的 最好的礼物 捧一杯咖啡对坐 折一纸书信分享悲喜 一起欣赏一段风景 一起分享一段时光 在最后的音乐会里 我们互道珍重，再见,334,,漫客·绘心坊书系,扫把,,,,中国致公出版社,,,,,,,,,24开（方形）,2012-7,,167,32.00元,,,扫把 金龙奖横空出道天才绘本画师，欧陆风格梦幻人物扫描挥洒纯真色彩，成就童话美梦。郭敬明推崇的天才、欧陆风情小公主、不灭童心代言人。 她热爱画画，更热爱生活。她的图画充满童真的纯美，她的故事饱含智慧和温情。 她说，童年的温暖的城是一个最初的梦，永远无法忘怀；她说，亲爱的朋友，微笑是我要送给你的最大的礼物。 你想认识她吗？那就翻一翻《在重庆》吧，也一定要看一看《Mr.king》。,8.7,"https://book.douban.com/subject/11630223/
"
9787507716719,,我是钱 ,《我是钱》是郑渊洁1995年创作的16万字长篇小说，原名《奔腾验钞机》。故事由6张不同面值的钞票的自述构成，人类生活中只有钞票能随便进入每个家庭观察人们的一切，这使得钞票可以近距离和人类成员作亲密接触，获悉人类成员的一切秘密。《我是钱》涉及的人物众多，场景宏大。,2475,,郑渊洁选集,郑渊洁,,,,学苑出版社,,,,,,,,,平装,2001-4,,298,15.00元,,,,8.5,"https://book.douban.com/subject/1066463/
"
9787543668508,,不要随便亲我 ,《不要随便亲我》是“学会爱自己”系列图书中的一本，通过一个小女孩的视野，说出了孩子不愿意总是被别人强迫亲近的心声。图书文字设置巧妙，不但将小女孩的心理表达得十分清楚，还隐含着许多巧妙之处。,82,,学会爱自己,(德)佩特拉·敏特尔 文,,德,刘敏,青岛出版社,,,,,,,,,平装,2010-12,,32,12.00元,,,,8.3,"https://book.douban.com/subject/5916927/
"
9787108044938,,野孩子•童语（三联童书馆） ,《野孩子•童语》由《我的理想》和《我们要第一》两篇生动有趣又富有教育意义的故事组成。 《我的理想》 我的理想，是成为一名医生，治病救人…… 原文为河北张合庄小学4年级学生王璞写的作文。 《我们要第一》 在每个蛐蛐的家里，家长们都在鼓励孩子们“你是第一！”、“你一定要第一”。结果，小蛐蛐们上学了，班主任让他们列队报数，喊出来的都是“第一”，带他们“一二一”齐步走，却都变成了“一、一、一”。 第一，真的那么好吗？,23,,熊亮《野孩子》系列三联版,熊亮,,,,生活•读书•新知三联书店,,,,,,,,,精装,2013-5,,64,45.00,,,熊亮，知名绘本作家，艺术家，书籍策划人和图文教育家。著有多部儿童绘本，2011年起在生活•读书•新知三联书店陆续出版《金刚师》《梅雨怪》《梅雨怪2》《月亮上的筵席》等面向成年读者的“纸上剧场”系列绘本，2013年在三联书店推出儿童绘本“野孩子”系列、“京剧猫”系列新版。,8.8,"https://book.douban.com/subject/24739169/
"
9787507214369,,丝瓜电话 ,《丝瓜电话》：中国儿童原创绘本。《丝瓜电话》主要内容：为了不要变成老奶奶的炒丝瓜，小丝瓜们努力长大、变长，直到统统变成老丝瓜。因为，老了的丝瓜就没有人爱吃啦！哈哈，明年再见吧！,18,,,"孙悦,周建明",,,,中国福利会,,,,,,,,,,2009-2,,24,18.00元,,,,8.3,"https://book.douban.com/subject/3597729/
"
9787539136646,,皮皮鲁和红沙发音乐城 ,《皮皮鲁蔚蓝系列:皮皮鲁和红沙发音乐城》同时收录《电药》、《复活的恐龙》和《马王登基》等。鲁西西用听诊器听到家里的沙发里传出了音乐声，音乐非常好听。而且沙发发出的音乐还有特殊功能，什么特殊功能你还是到故事中寻找吧。,257,,皮皮鲁总动员,郑渊洁,,,,二十一世纪出版社,,,,,,,,,平装,2007-3,,169,13.80元,,,,8.8,"https://book.douban.com/subject/2039809/
"
9784003109311,,日本童謡集 ,童謡童話雑誌『赤い鳥』の創刊以来、終戦に至る30年間に発表された多くの創作童謡の中から、300余篇を選んでここに収める。「からたちの花」「うたを忘れたカナリヤ」「カラスなぜなくの」など、世に広く歌われている白秋、八十、雨情の代表作をはじめ、大正・昭和の名作童謡のすべてを集め、家中みんなが楽しめる本にした。,,,,与田凖一,,,,岩波書店,,,,,,,,,文庫,1957-12-20,,315,735 （税込）,,,,,"https://book.douban.com/subject/1906103/
"
9787807292661,,土拨鼠日记 ,《土拨鼠日记》主要内容：一只心怀梦想懵懂的土拨鼠，离开群居的大家庭，开始了一个人的跋涉。他获得了令人羡慕的友情，经历了纯洁而令人心碎的初恋，甚至匪夷所思地和一条蛇擦出了爱情的火花……可是，生活给予他的，不会只是这美好的一切。在他充满希望的时候，各种凶险、灾难，也相继而来：风暴虐杀了好友，初恋无疾而终，而与蛇之间的爱情则注定是一场不可能的哀伤……土拨鼠又开始了新的跋涉。在度过了一段放纵的生活后，他终于明白了家的意义……,71,,,桑丘,,,,,,,,,,,,,,2009-1,,253,16.00元,,,,9.1,"https://book.douban.com/subject/3522714/
"
9787543464650,,阿文的小毯子 ,一个叫阿文的小老鼠很喜欢他的小毯子，从小到大从不离身，邻居的阿婶和阿文的爸爸妈妈想尽了办法也不能让阿文放弃，最后，妈妈把小毯子做成了一条一条的小手帕。后来，阿文每天都会带着他的小手帕，再也没有人说什么了。《阿文的小毯子》是一个讲述父母和子女沟通 的经典故事。,207,,,(美)凯文·亨克斯 文/图,,美,方素珍,河北教育出版社,,,,,,,,,,2007-4,,22,29.80元,,,,8.6,"https://book.douban.com/subject/2122703/
"
9787807324478,,跳跳电视台 ,该系列相关书目，请点击进入：没有人会想到，马小跳、唐飞、张达、毛超等几个人会建立一个“跳跳电视台”；更没有人会料到，“跳跳电视台”拍摄的两个晚上被播放出来。成为“风云人物”的马小跳接下来却感到了郁闷：他们拍摄的又一个非常精彩的DV新作品被电视台的导演“枪毙”了，班主任秦老师要让路曼曼来接任“跳跳电视台”的台长，唐飞和马小跳“决裂”……马小跳该怎么办？,396,,淘气包马小跳,杨红樱,,,,接力出版社,,,,,,,,,平装,2006-8,,168,13.0,,,杨红樱，中国作家协会会员，《青年作家》杂志社副编审。所著“淘气包马小跳系列”、“杨红樱校园小说系列”、“杨红樱童话系列”已成为品牌图书，畅销校园内外。“杨红樱校园小说系列”将拍成l00集校园动画片；《女生日记》、《男生日记》正由中国电影集团拍成电影；《五·三班的坏小子》、《漂亮老师和坏小子》将拍成电视连续剧。“淘气包马小跳系列”面市后受到了孩子、家长、老师们的由衷欢迎和喜爱，“淘气包马小跳系列”的电影、电视连续剧和动画片正在拍摄制作中，不久将会与广大读者见面。“淘气包马小跳系列”是杨红樱最新创作的儿童小说系列，作品诙谐幽默、好玩有趣，通过描写一群调皮孩子的快乐生活以及他们和家长、老师、同学的好玩的故事，映射当代儿童的生活现实与心理现实，深情呼唤张扬孩子的天性，舒展童心、童趣，探析成人世界与儿童世界之间的隔膜、误区，倡导理解、沟通，让孩子拥有健康、和谐...(展开全部),8.4,"https://book.douban.com/subject/1844857/
"
